Country,Year
Algeria,2014
Argentina,2013
Armenia,2011
Australia,2012
Azerbaijan,2011
Belarus,2011
Brasil,2014
Colombia,2012
Cyprus,2011
Chile,2012
China,2013
Ecuador,2013
Egypt,2013
Estonia,2011
Georgia,2014
Germany,2013
Ghana,2012
Haiti,2016
India,2012
Iraq,2013
Japan,2010
Jordan,2014
Kazakhstan,2011
Kuwait,2014
Kyrgyzstan,2011
Lebanon,2013
Libya,2014
Malaysia,2012
Mexico,2012
Morocco,2011
Netherlands,2012
Nigeria,2012
Pakistan,2012
Palestine,2013
Peru,2012
Philippines,2012
Poland,2012
Qatar,2010
Romania,2012
Russia,2011
Rwanda,2012
Singapore,2012
Slovenia,2011
Spain,2011
Sweden,2011
Taiwan,2012
Thailand,2013
Tunisia,2013
Turkey,2011
Ukraine,2011
Uruguay,2011
Uzbekistan,2011
Yemen,2014
Zimbabwe,2012
